home team,away team,FTHG,FTAG,htHG,htAG,home formation,away formation,home line up,away line up,home subs,away subs,home coach,away coach,Referee,date,venue,home shots on target,away shots on target,home shots off target,away shots off target,home fouls,away fouls,home corners,away corners,home throws,away throws,result,home_ht_ft,away_ht_ft,home_double_chance,away_double_chance
West Ham United,Brighton & Hove Albion,0,2,0,1,4-3-3,3-4-2-1,",Lukasz Fabianski,Vladimir Coufal,Kurt Zouma,Thilo Kehrer,Aaron Cresswell,Tomas Soucek,Declan Rice,Pablo Fornals,Jarrod Bowen,Michail Antonio,Said Benrahma",",Danny Welbeck,Adam Lallana,Pascal Gross,Leandro Trossard,Moisés Caicedo,Alexis MacAllister,Solly March,Adam Webster,Lewis Dunk,Joel Veltman,Robert Sanchez","Alphonse Areola,Ben Johnson,Angelo Ogbonna,Harrison Ashby,Manuel Lanzini,Flynn Downes,Maxwel Cornet,Conor Coventry,Gianluca Scamacca","Jason Steele,Tariq Lamptey,Levi Colwill,Pervis Estupinan,Enock Mwepu,Steven Alzate,Kaoru Mitoma,Neal Maupay,Deniz Undav",David Moyes,Graham Potter,Referee: Anthony Taylor (England),Aug 21,Venue: London Stadium,3,2,3,5,10,7,5,4,22,15,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
Newcastle United,Manchester City,3,3,2,1,4-3-3,4-3-3,",Nick Pope,Kieran Trippier,Fabian Schar,Sven Botman,Dan Burn,Joseph Willock,Bruno Guimaraes,Joelinton,Miguel Almiron,Callum Wilson,Allan Saint-Maximin",",Phil Foden,Erling Haaland,Bernardo Silva,Ilkay Gundogan,Rodri,Kevin De Bruyne,Joao Cancelo,Nathan Ake,John Stones,Kyle Walker,Ederson","Martin Dubravka,Jamaal Lascelles,Emil Krafth,Matt Ritchie,Ryan Fraser,Jacob Murphy,Elliot Anderson,Sean Longstaff,Chris Wood","Stefan Ortega,Ruben Dias,Luke Mbete-Tatu,Rico Lewis,Kalvin Phillips,Sergio Gomez,Cole Palmer,Julian Alvarez,Riyad Mahrez",Eddie Howe,Josep Guardiola,Referee: Jarred Gillett (Australia),Aug 21,Venue: St James' Park,6,10,4,4,14,7,5,5,8,15,D,won at ht and drew at ft,lost at ht and drew ft,won either half,won either half
Manchester United,Liverpool,2,1,1,0,4-2-3-1,4-3-3,",David De Gea,Diogo Dalot,Raphael Varane,Lisandro Martinez,Tyrell Malacia,Christian Eriksen,Scott McTominay,Anthony Elanga,Bruno Fernandes,Jadon Sancho,Marcus Rashford",",Luis Diaz,Roberto Firmino,Mohamed Salah,Harvey Elliott,Jordan Henderson,James Milner,Andy Robertson,Virgil Van Dijk,Joe Gomez,Trent Alexander-Arnold,Alisson","Tom Heaton,Harry Maguire,Luke Shaw,Aaron Wan-Bissaka,Fred,Donny Van De Beek,Cristiano Ronaldo,Anthony Martial,Alejandro Garnacho","Adrian,Harvey Davies,Kostas Tsimikas,Stefan Bajcetic,Nathaniel Phillips,Sepp Van den Berg,Fabinho,Fabio Carvalho,Bobby Clark",Erik ten Hag,Jurgen Klopp,Referee: Michael Oliver (England),Aug 22,Venue: Old Trafford,4,5,4,6,11,7,6,8,15,28,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Southampton,Manchester United,0,1,0,0,4-2-3-1,4-2-3-1,",Gavin Bazunu,Kyle Walker-Peters,Armel Bella-Kotchap,Mohammed Salisu,Moussa Djenepo,James Ward-Prowse,Romeo Lavia,Adam Armstrong,Joe Aribo,Mohamed Elyounoussi,Che Adams",",Marcus Rashford,Jadon Sancho,Bruno Fernandes,Anthony Elanga,Christian Eriksen,Scott McTominay,Tyrell Malacia,Lisandro Martinez,Raphael Varane,Diogo Dalot,David De Gea","Alex McCarthy,Lyanco,Romain Perraud,Jan Bednarek,Yan Valery,Oriol Romeu,Stuart Armstrong,Ibrahima Diallo,Sekou Mara","Tom Heaton,Harry Maguire,Luke Shaw,Aaron Wan-Bissaka,Fred,Casemiro,Donny Van De Beek,Cristiano Ronaldo,Alejandro Garnacho",Ralph Hasenhuttl,Erik ten Hag,Referee: Andrew Madley (England),Aug 27,Venue: St. Mary's Stadium,5,6,9,1,4,14,5,3,27,20,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Brentford,Everton,1,1,0,1,4-3-3,3-4-3,",David Raya,Aaron Hickey,Zanka,Ben Mee,Rico Henry,Mathias Jensen,Christian Norgaard,Josh Dasilva,Bryan Mbeumo,Ivan Toney,Yoane Wissa",",Demarai Gray,Anthony Gordon,Dwight McNeil,Vitaliy Mykolenko,Alex Iwobi,Amadou Mvom Onana,Nathan Patterson,James Tarkowski,Conor Coady,Mason Holgate,Jordan Pickford","Thomas Strakosha,Mads Bech Sorensen,Mads Roerslev Rasmussen,Frank Onyeka,Mikkel Damsgaard,Shandon Baptiste,Vitaly Janelt,Saman Ghoddos,Keane Lewis-Potter","Asmir Begovic,Michael Keane,Seamus Coleman,Ruben Vinagre,Allan,Tom Davies,Lewis Warrington,Stanley Mills,Salomon Rondon",Thomas Frank,Frank Lampard,Referee: John Brooks (England),Aug 27,Venue: Gtech Community Stadium,5,7,8,2,8,8,8,5,26,10,D,lost at ht and drew ft,won at ht and drew at ft,won either half,won either half
Brighton & Hove Albion,Leeds United,1,0,0,0,3-5-2,4-2-3-1,",Robert Sanchez,Joel Veltman,Lewis Dunk,Adam Webster,Solly March,Pascal Gross,Alexis MacAllister,Moisés Caicedo,Pervis Estupinan,Danny Welbeck,Leandro Trossard",",Rodrigo,Jack Harrison,Brenden Aaronson,Daniel James,Marc Roca,Tyler Adams,Pascal Struijk,Robin Koch,Diego Llorente,Rasmus Kristensen,Illan Meslier","Jason Steele,Tariq Lamptey,Levi Colwill,Jan Paul Van Hecke,Enock Mwepu,Steven Alzate,Kaoru Mitoma,Deniz Undav,Evan Ferguson","Kristoffer Klaesson,Leo Fuhr Hjelde,Cody Drameh,Adam Forshaw,Crysencio Summerville,Mateusz Klich,Luis Sinisterra,Joe Gelhardt,Sam Greenwood",Graham Potter,Jesse Marsch,Referee: Michael Salisbury (England),Aug 27,Venue: The American Express Community Stadium,4,2,7,3,10,14,5,3,28,18,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Chelsea,Leicester City,2,1,0,0,3-4-2-1,4-1-4-1,",Edouard Mendy,Reece James,Thiago Silva,Trevoh Chalobah,Ruben Loftus-Cheek,Jorginho,Conor Gallagher,Marc Cucurella,Kai Havertz,Mason Mount,Raheem Sterling",",Jamie Vardy,Harvey Barnes,Kiernan Dewsbury-Hall,Youri Tielemans,Dennis Praet,Boubakary Soumare,James Justin,Jonny Evans,Daniel Amartey,Timothy Castagne,Danny Ward","Kepa Arrizabalaga,Ben Chilwell,Cesar Azpilicueta,Ethan Ampadu,Mateo Kovacic,Hakim Ziyech,Christian Pulisic,Armando Broja,Callum Hudson-Odoi","Daniel Iversen,Caglar Soyuncu,Luke Thomas,Marc Albrighton,Nampalys Mendy,Wilfred Ndidi,Kelechi Iheanacho,Ayoze Perez,Patson Daka",Arno Michels,Brendan Rodgers,Referee: Paul Tierney (England),Aug 27,Venue: Stamford Bridge,3,5,2,8,10,7,3,11,18,16,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Liverpool,AFC Bournemouth,9,0,5,0,4-3-3,3-4-2-1,",Alisson,Trent Alexander-Arnold,Joe Gomez,Virgil Van Dijk,Andy Robertson,Jordan Henderson,Fabinho,Harvey Elliott,Mohamed Salah,Roberto Firmino,Luis Diaz",",Kieffer Moore,Marcus Tavernier,Jaidon Anthony,Jordan Zemura,Ryan Christie,Lewis Cook,Adam Smith,Marcos Senesi,Chris Mepham,Jefferson Lerma,Mark Travers","Adrian,Harvey Davies,Kostas Tsimikas,Stefan Bajcetic,Nathaniel Phillips,Sepp Van den Berg,James Milner,Fabio Carvalho,Bobby Clark","Neto,Jack Stacey,James Hill,Owen Bevan,Emiliano Marcondes,Ben Pearson,Philip Billing,Dominic Solanke,Christian Saydee",Jurgen Klopp,Scott Parker,Referee: Stuart Attwell (England),Aug 27,Venue: Anfield,12,2,6,2,6,5,8,1,19,20,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Manchester City,Crystal Palace,4,2,0,2,4-3-3,5-4-1,",Ederson,Kyle Walker,John Stones,Ruben Dias,Joao Cancelo,Kevin De Bruyne,Rodri,Bernardo Silva,Riyad Mahrez,Erling Haaland,Phil Foden",",Odsonne Edouard,Eberechi Eze,Jeffrey Schlupp,Cheick Oumar Doucoure,Jordan Ayew,Tyrick Mitchell,Marc Guehi,Joachim Andersen,Joel Ward,Nathaniel Clyne,Vicente Guaita","Stefan Ortega,Rico Lewis,Josh Wilson-Esbrand,Ilkay Gundogan,Sergio Gomez,Cole Palmer,Claudio Gomes,Ben Knight,Julian Alvarez","Sam Johnstone,Joe Whitworth,Chris Richards,Luka Milivojevic,Michael Olise,Will Hughes,Kaden Rodney,Jean-Philippe Mateta,Malcolm Ebiowei",Josep Guardiola,Patrick Vieira,Referee: Darren England (England),Aug 27,Venue: Etihad Stadium,5,2,8,0,14,8,6,1,18,10,H,lost at ht and won at ft,won at ht and lost at ft,won either half,won either half
Arsenal,Fulham,2,1,0,0,4-2-3-1,4-2-3-1,",Aaron Ramsdale,Ben White,William Saliba,Gabriel Magalhaes,Kieran Tierney,Mohamed Elneny,Granit Xhaka,Bukayo Saka,Martin Odegaard,Gabriel Martinelli,Gabriel Jesus",",Aleksandar Mitrovic,Neeskens Kebano,Andreas Pereira,Bobby Reid,Joao Palhinha,Harrison Reed,Antonee Robinson,Tim Ream,Tosin Adarabioyo,Kenny Tete,Bernd Leno","Matt Turner,Rob Holding,Cedric Soares,Takehiro Tomiyasu,Emile Smith-Rowe,Fabio Vieira,Albert Sambi Lokonga,Eddie Nketiah,Marquinhos","Marek Rodak,Shane Duffy,Kevin Mbabu,Issa Diop,Tom Cairney,Nathaniel Chalobah,Tyrese Francois,Luke Bernard Harris,Jay Stansfield",Mikel Arteta,Marco Silva,Referee: Jarred Gillett (Australia),Aug 27,Venue: Emirates Stadium,8,3,4,6,6,12,9,2,17,18,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Aston Villa,West Ham United,0,1,0,0,4-3-1-2,5-4-1,",Emiliano Martinez,Matty Cash,Calum Chambers,Ezri Konsa,Lucas Digne,Douglas Luiz,Boubacar Kamara,John McGinn,Philippe Coutinho,Ollie Watkins,Danny Ings",",Gianluca Scamacca,Pablo Fornals,Declan Rice,Tomas Soucek,Jarrod Bowen,Emerson,Aaron Cresswell,Kurt Zouma,Thilo Kehrer,Ben Johnson,Lukasz Fabianski","Robin Olsen,Ludwig Augustinsson,Ashley Young,Emiliano Buendia,Marvelous Nakamba,Leon Bailey,Jacob Ramsey,Tim Iroegbunam,Cameron Archer","Alphonse Areola,Vladimir Coufal,Angelo Ogbonna,Manuel Lanzini,Flynn Downes,Maxwel Cornet,Conor Coventry,Michail Antonio,Said Benrahma",Steven Gerrard,David Moyes,Referee: David Coote (England),Aug 28,Venue: Villa Park,3,2,4,3,10,10,3,2,24,23,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Wolverhampton Wanderers,Newcastle United,1,1,1,0,4-3-3,4-3-3,",Jose Sa,Nelson Semedo,Nathan Collins,Max Kilman,Jonny Otto,Matheus Nunes,Ruben Neves,Joao Moutinho,Goncalo Guedes,Raul Jimenez,Pedro Neto",",Allan Saint-Maximin,Chris Wood,Miguel Almiron,Joelinton,Sean Longstaff,Joseph Willock,Dan Burn,Sven Botman,Fabian Schar,Kieran Trippier,Nick Pope","Matija Sarkic,Rayan Ait-Nouri,Yerson Mosquera,Toti Gomes,Leander Dendoncker,Daniel Podence,Hwang Hee-chan,Adama Traore,Chem Campbell","Karl Darlow,Paul Dummett,Jamaal Lascelles,Matt Targett,Javi Manquillo,Matt Ritchie,Ryan Fraser,Jacob Murphy,Elliot Anderson",Bruno Lage,Eddie Howe,Referee: Peter Bankes (England),Aug 28,Venue: Molineux Stadium,4,6,2,3,10,11,4,13,14,12,D,won at ht and drew at ft,lost at ht and drew ft,won either half,won either half
Nottingham Forest,Tottenham Hotspur,0,2,0,1,3-4-2-1,3-4-2-1,",Dean Henderson,Joe Worrall,Steve Cook,Scott McKenna,Neco Williams,Ryan Yates,Lewis O'Brien,Harry Toffolo,Jesse Lingard,Morgan Gibbs-White,Brennan Johnson",",Harry Kane,Son Heung-min,Dejan Kulusevski,Ivan Perisic,Pierre Hojbjerg,Rodrigo Bentancur,Emerson,Ben Davies,Eric Dier,Davinson Sanchez,Hugo Lloris","Wayne Hennessey,Giulian Biancone,Jack Colback,Cheikhou Kouyate,Remo Freuler,Taiwo Awoniyi,Sam Surridge,Alexander Mighten,Emmanuel Dennis","Fraser Forster,Matt Doherty,Djed Spence,Japhet Tanganga,Clement Lenglet,Ryan Sessegnon,Pape Matar Sarr,Yves Bissouma,Richarlison",Steve Cooper,Antonio Conte,Referee: Craig Pawson (England),Aug 28,"Venue: City Ground, Nottingham",1,7,10,7,11,13,6,1,17,16,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
Crystal Palace,Brentford,1,1,0,0,4-1-4-1,4-3-3,",Vicente Guaita,Joel Ward,Joachim Andersen,Marc Guehi,Nathaniel Clyne,Cheick Oumar Doucoure,Michael Olise,Jeffrey Schlupp,Eberechi Eze,Wilfried Zaha,Jean-Philippe Mateta",",Keane Lewis-Potter,Ivan Toney,Bryan Mbeumo,Mathias Jensen,Vitaly Janelt,Shandon Baptiste,Rico Henry,Ben Mee,Zanka,Aaron Hickey,David Raya","Sam Johnstone,Tyrick Mitchell,Chris Richards,Luka Milivojevic,Kaden Rodney,Jordan Ayew,Odsonne Edouard,Malcolm Ebiowei,Killian Phillips","Thomas Strakosha,Mads Bech Sorensen,Mads Roerslev Rasmussen,Fin Stevens,Josh Dasilva,Yoane Wissa,Frank Onyeka,Mikkel Damsgaard,Saman Ghoddos",Patrick Vieira,Thomas Frank,Referee: Simon Hooper (England),Aug 30,Venue: Selhurst Park,4,3,6,6,11,8,4,6,18,20,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Fulham,Brighton & Hove Albion,2,1,0,0,4-2-3-1,3-4-2-1,",Bernd Leno,Kenny Tete,Tosin Adarabioyo,Tim Ream,Antonee Robinson,Harrison Reed,Joao Palhinha,Bobby Reid,Andreas Pereira,Neeskens Kebano,Aleksandar Mitrovic",",Leandro Trossard,Alexis MacAllister,Pascal Gross,Pervis Estupinan,Moisés Caicedo,Enock Mwepu,Solly March,Lewis Dunk,Adam Webster,Joel Veltman,Robert Sanchez","Marek Rodak,Kevin Mbabu,Issa Diop,Tom Cairney,Nathaniel Chalobah,Tyrese Francois,Luke Bernard Harris,Terry Ablade,Jay Stansfield","Jason Steele,Tariq Lamptey,Levi Colwill,Jan Paul Van Hecke,Steven Alzate,Kaoru Mitoma,Danny Welbeck,Julio Cesar Enciso,Deniz Undav",Marco Silva,Graham Potter,Referee: Thomas Bramall (England),Aug 30,Venue: Craven Cottage,3,3,7,3,9,11,3,3,23,26,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Southampton,Chelsea,2,1,2,1,4-2-3-1,4-3-3,",Gavin Bazunu,Kyle Walker-Peters,Armel Bella-Kotchap,Mohammed Salisu,Romain Perraud,Ibrahima Diallo,Romeo Lavia,Mohamed Elyounoussi,James Ward-Prowse,Adam Armstrong,Che Adams",",Kai Havertz,Raheem Sterling,Hakim Ziyech,Mason Mount,Jorginho,Ruben Loftus-Cheek,Marc Cucurella,Kalidou Koulibaly,Thiago Silva,Cesar Azpilicueta,Edouard Mendy","Alex McCarthy,Lyanco,Jan Bednarek,Yan Valery,Joe Aribo,Stuart Armstrong,Moussa Djenepo,Theo Walcott,Sekou Mara","Kepa Arrizabalaga,Ben Chilwell,Ethan Ampadu,Mateo Kovacic,Carney Chukwuemeka,Billy Gilmour,Harvey Vale,Christian Pulisic,Armando Broja",Ralph Hasenhuttl,Thomas Tuchel,Referee: Michael Oliver (England),Aug 30,Venue: St. Mary's Stadium,5,4,0,2,15,10,5,3,26,31,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Leeds United,Everton,1,1,0,1,4-2-3-1,4-3-3,",Illan Meslier,Rasmus Kristensen,Robin Koch,Diego Llorente,Pascal Struijk,Tyler Adams,Marc Roca,Luis Sinisterra,Brenden Aaronson,Jack Harrison,Rodrigo",",Demarai Gray,Dwight McNeil,Anthony Gordon,Tom Davies,Alex Iwobi,Amadou Mvom Onana,Vitaliy Mykolenko,James Tarkowski,Conor Coady,Nathan Patterson,Jordan Pickford","Kristoffer Klaesson,Cody Drameh,Adam Forshaw,Crysencio Summerville,Daniel James,Mateusz Klich,Patrick Bamford,Joe Gelhardt,Sam Greenwood","Asmir Begovic,Michael Keane,Seamus Coleman,Ruben Vinagre,Reece Welch,Allan,Andre Gomes,Stanley Mills,Salomon Rondon",Jesse Marsch,Frank Lampard,Referee: Darren England (England),Aug 30,Venue: Elland Road,5,2,8,2,10,9,10,2,38,22,D,lost at ht and drew ft,won at ht and drew at ft,won either half,won either half
AFC Bournemouth,Wolverhampton Wanderers,0,0,0,0,4-2-3-1,4-3-3,",Neto,Adam Smith,Chris Mepham,Lloyd Kelly,Jordan Zemura,Lewis Cook,Jefferson Lerma,Philip Billing,Ryan Christie,Marcus Tavernier,Dominic Solanke",",Pedro Neto,Raul Jimenez,Goncalo Guedes,Joao Moutinho,Ruben Neves,Matheus Nunes,Jonny Otto,Max Kilman,Nathan Collins,Nelson Semedo,Jose Sa","Mark Travers,Ryan Fredericks,Jack Stacey,James Hill,Marcos Senesi,Emiliano Marcondes,Jamal Lowe,Kieffer Moore,Jaidon Anthony","Matija Sarkic,Rayan Ait-Nouri,Toti Gomes,Connor Ronan,Leander Dendoncker,Daniel Podence,Hwang Hee-chan,Adama Traore,Chem Campbell",Gary O'Neil,Bruno Lage,Referee: Anthony Taylor (England),Aug 31,Venue: Vitality Stadium,2,3,2,9,12,12,2,5,21,16,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Arsenal,Aston Villa,2,1,1,0,4-2-3-1,4-3-1-2,",Aaron Ramsdale,Ben White,William Saliba,Gabriel Magalhaes,Kieran Tierney,Albert Sambi Lokonga,Granit Xhaka,Bukayo Saka,Martin Odegaard,Gabriel Martinelli,Gabriel Jesus",",Ollie Watkins,Leon Bailey,Emiliano Buendia,Jacob Ramsey,Boubacar Kamara,John McGinn,Lucas Digne,Tyrone Mings,Ezri Konsa,Matty Cash,Emiliano Martinez","Matt Turner,Rob Holding,Cedric Soares,Takehiro Tomiyasu,Emile Smith-Rowe,Fabio Vieira,Matt Smith,Eddie Nketiah,Marquinhos","Robin Olsen,Calum Chambers,Ludwig Augustinsson,Ashley Young,Douglas Luiz,Philippe Coutinho,Tim Iroegbunam,Danny Ings,Cameron Archer",Mikel Arteta,Steven Gerrard,Referee: Robert Jones (England),Aug 31,Venue: Emirates Stadium,8,3,5,2,10,14,10,3,15,13,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Manchester City,Nottingham Forest,6,0,3,0,4-3-3,5-3-2,",Ederson,Kyle Walker,Ruben Dias,John Stones,Joao Cancelo,Bernardo Silva,Rodri,Ilkay Gundogan,Julian Alvarez,Erling Haaland,Phil Foden",",Morgan Gibbs-White,Brennan Johnson,Lewis O'Brien,Remo Freuler,Ryan Yates,Renan Lodi,Scott McKenna,Cheikhou Kouyate,Joe Worrall,Neco Williams,Dean Henderson","Stefan Ortega,Rico Lewis,Josh Wilson-Esbrand,Kevin De Bruyne,Sergio Gomez,Cole Palmer,Claudio Gomes,Ben Knight,Riyad Mahrez","Wayne Hennessey,Giulian Biancone,Steve Cook,Harry Toffolo,Jack Colback,Jesse Lingard,Taiwo Awoniyi,Sam Surridge,Emmanuel Dennis",Josep Guardiola,Steve Cooper,Referee: Paul Tierney (England),Aug 31,Venue: Etihad Stadium,9,1,6,4,9,7,10,1,15,10,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
West Ham United,Tottenham Hotspur,1,1,0,1,4-2-3-1,3-4-2-1,",Lukasz Fabianski,Vladimir Coufal,Kurt Zouma,Thilo Kehrer,Aaron Cresswell,Tomas Soucek,Declan Rice,Jarrod Bowen,Pablo Fornals,Said Benrahma,Michail Antonio",",Harry Kane,Son Heung-min,Dejan Kulusevski,Ivan Perisic,Yves Bissouma,Pierre Hojbjerg,Emerson,Ben Davies,Eric Dier,Davinson Sanchez,Hugo Lloris","Alphonse Areola,Darren Randolph,Angelo Ogbonna,Emerson,Manuel Lanzini,Lucas Paqueta,Flynn Downes,Maxwel Cornet,Conor Coventry","Fraser Forster,Matt Doherty,Djed Spence,Japhet Tanganga,Clement Lenglet,Oliver Skipp,Ryan Sessegnon,Pape Matar Sarr,Richarlison",David Moyes,Antonio Conte,Referee: Peter Bankes (England),Aug 31,Venue: London Stadium,4,4,8,2,10,9,3,4,16,19,D,lost at ht and drew ft,won at ht and drew at ft,won either half,won either half
Liverpool,Newcastle United,2,1,0,1,4-3-3,4-3-3,",Alisson,Trent Alexander-Arnold,Joe Gomez,Virgil Van Dijk,Andy Robertson,Jordan Henderson,Fabinho,Harvey Elliott,Mohamed Salah,Roberto Firmino,Luis Diaz",",Ryan Fraser,Alexander Isak,Miguel Almiron,Joelinton,Sean Longstaff,Joseph Willock,Matt Targett,Dan Burn,Jamaal Lascelles,Kieran Trippier,Nick Pope","Adrian,Harvey Davies,Kostas Tsimikas,Joel Matip,Stefan Bajcetic,Nathaniel Phillips,James Milner,Curtis Jones,Fabio Carvalho","Karl Darlow,Sven Botman,Fabian Schar,Jamal Lewis,Javi Manquillo,Matt Ritchie,Jacob Murphy,Elliot Anderson,Chris Wood",Jurgen Klopp,Eddie Howe,Referee: Andre Marriner (England),Aug 31,Venue: Anfield,6,2,9,3,9,10,13,0,24,12,H,lost at ht and won at ft,won at ht and lost at ft,won either half,won either half
Leicester City,Manchester United,0,1,0,1,4-1-4-1,4-2-3-1,",Danny Ward,James Justin,Wilfred Ndidi,Jonny Evans,Luke Thomas,Boubakary Soumare,James Maddison,Kiernan Dewsbury-Hall,Youri Tielemans,Harvey Barnes,Jamie Vardy",",Marcus Rashford,Jadon Sancho,Bruno Fernandes,Anthony Elanga,Christian Eriksen,Scott McTominay,Tyrell Malacia,Lisandro Martinez,Raphael Varane,Diogo Dalot,David De Gea","Daniel Iversen,Caglar Soyuncu,Timothy Castagne,Marc Albrighton,Dennis Praet,Lewis Brunt,Kelechi Iheanacho,Ayoze Perez,Patson Daka","Tom Heaton,Matej Kovar,Victor Lindelof,Harry Maguire,Fred,Casemiro,Donny Van De Beek,Cristiano Ronaldo,Alejandro Garnacho",Brendan Rodgers,Erik ten Hag,Referee: Craig Pawson (England),Sep 1,Venue: King Power Stadium,2,2,4,3,7,15,1,3,18,24,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won either half
Everton,Liverpool,0,0,0,0,4-3-3,4-3-3,",Jordan Pickford,Nathan Patterson,Conor Coady,James Tarkowski,Vitaliy Mykolenko,Tom Davies,Amadou Mvom Onana,Alex Iwobi,Demarai Gray,Anthony Gordon,Neal Maupay",",Luis Diaz,Darwin Nunez,Mohamed Salah,Fabio Carvalho,Fabinho,Harvey Elliott,Kostas Tsimikas,Virgil Van Dijk,Joe Gomez,Trent Alexander-Arnold,Alisson","Asmir Begovic,Michael Keane,Seamus Coleman,Ruben Vinagre,Allan,Dwight McNeil,Idrissa Gueye,Stanley Mills,Salomon Rondon","Adrian,Andy Robertson,Joel Matip,Stefan Bajcetic,Nathaniel Phillips,James Milner,Arthur Melo,Roberto Firmino,Diogo Jota",Frank Lampard,Jurgen Klopp,Referee: Anthony Taylor (England),Sep 3,Venue: Goodison Park,3,8,5,7,7,11,7,9,22,35,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Brentford,Leeds United,5,2,2,1,4-3-3,4-2-3-1,",David Raya,Aaron Hickey,Pontus Jansson,Ben Mee,Rico Henry,Shandon Baptiste,Vitaly Janelt,Mathias Jensen,Bryan Mbeumo,Ivan Toney,Keane Lewis-Potter",",Joe Gelhardt,Jack Harrison,Brenden Aaronson,Luis Sinisterra,Marc Roca,Tyler Adams,Pascal Struijk,Diego Llorente,Robin Koch,Cody Drameh,Illan Meslier","Thomas Strakosha,Zanka,Kristoffer Ajer,Mads Roerslev Rasmussen,Josh Dasilva,Yoane Wissa,Frank Onyeka,Mikkel Damsgaard,Saman Ghoddos","Kristoffer Klaesson,Luke Ayling,Liam Cooper,Leo Fuhr Hjelde,Adam Forshaw,Crysencio Summerville,Mateusz Klich,Patrick Bamford,Sam Greenwood",Thomas Frank,Jesse Marsch,Referee: Robert Jones (England),Sep 3,Venue: Gtech Community Stadium,8,6,6,7,8,10,2,6,14,22,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Chelsea,West Ham United,2,1,0,0,3-5-2,4-2-3-1,",Edouard Mendy,Thiago Silva,Kalidou Koulibaly,Wesley Fofana,Reece James,Conor Gallagher,Ruben Loftus-Cheek,Mateo Kovacic,Marc Cucurella,Christian Pulisic,Raheem Sterling",",Michail Antonio,Pablo Fornals,Lucas Paqueta,Jarrod Bowen,Tomas Soucek,Declan Rice,Emerson,Kurt Zouma,Thilo Kehrer,Vladimir Coufal,Lukasz Fabianski","Kepa Arrizabalaga,Trevoh Chalobah,Ben Chilwell,Cesar Azpilicueta,Jorginho,Mason Mount,Hakim Ziyech,Armando Broja,Kai Havertz","Alphonse Areola,Darren Randolph,Angelo Ogbonna,Manuel Lanzini,Flynn Downes,Maxwel Cornet,Conor Coventry,Said Benrahma,",Thomas Tuchel,David Moyes,Referee: Andrew Madley (England),Sep 3,Venue: Stamford Bridge,3,3,2,2,6,11,10,3,17,20,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Newcastle United,Crystal Palace,0,0,0,0,4-3-3,4-3-3,",Nick Pope,Kieran Trippier,Fabian Schar,Sven Botman,Matt Targett,Joseph Willock,Sean Longstaff,Joelinton,Miguel Almiron,Alexander Isak,Ryan Fraser",",Wilfried Zaha,Jean-Philippe Mateta,Jordan Ayew,Eberechi Eze,Cheick Oumar Doucoure,Jeffrey Schlupp,Tyrick Mitchell,Marc Guehi,Joachim Andersen,Joel Ward,Vicente Guaita","Karl Darlow,Jamaal Lascelles,Jamal Lewis,Javi Manquillo,Dan Burn,Matt Ritchie,Jacob Murphy,Elliot Anderson,Chris Wood","Sam Johnstone,Nathaniel Clyne,Chris Richards,Luka Milivojevic,Michael Olise,Will Hughes,Jairo Riedewald,Odsonne Edouard,Malcolm Ebiowei",Eddie Howe,Patrick Vieira,Referee: Michael Salisbury (England),Sep 3,Venue: St James' Park,5,9,8,4,19,12,13,5,16,18,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
